,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit
84015,1.0,175.0,VS,,,,
84030,2.0,175.0,AS,,,,
84045,3.0,175.0,DB,,,,
84480,0.0,176.0,VS,,,,
84495,1.0,176.0,AS,,,,
84510,2.0,176.0,VS,,,,
84525,3.0,176.0,AS,,,,
84960,0.0,177.0,AS,,,,
84975,1.0,177.0,VS,,,,
84990,2.0,177.0,AS,,,,
85005,3.0,177.0,AS,,,,
85440,0.0,178.0,SG,,,,
85455,1.0,178.0,SG,,,,
85470,2.0,178.0,VS,,,,
85485,3.0,178.0,AS,,,,
85920,0.0,179.0,AS,,,,
85935,1.0,179.0,VS,,,,
85950,2.0,179.0,SG,,,,
85965,3.0,179.0,VS,,,,
86400,0.0,180.0,AS,,,,
86415,1.0,180.0,SG,,,,
86430,2.0,180.0,AS,,,,
86445,3.0,180.0,AS,,,,
86880,0.0,181.0,VS,,,,
86895,1.0,181.0,AS,,,,
86910,2.0,181.0,AS,,,,
86925,3.0,181.0,AS,,,,
87360,0.0,182.0,SG,,,,
87375,1.0,182.0,VS,,,,
87390,2.0,182.0,AS,,,,
87405,3.0,182.0,DB,,,,
87840,0.0,183.0,AS,,,,
87855,1.0,183.0,SG,,,,
87870,2.0,183.0,AS,,,,
87885,3.0,183.0,SG,,,,
88320,0.0,184.0,SG,,,,
88335,1.0,184.0,VS,,,,
88350,2.0,184.0,SG,,,,
88365,3.0,184.0,AS,,,,
88800,0.0,185.0,SG,,,,
88815,1.0,185.0,SG,,,,
88830,2.0,185.0,VS,,,,
88845,3.0,185.0,SG,,,,
89280,0.0,186.0,AS,,,,
89295,1.0,186.0,DB,,,,
89310,2.0,186.0,SG,,,,
89325,3.0,186.0,SG,,,,
89760,0.0,187.0,AS,,,,
89775,1.0,187.0,AS,,,,
89790,2.0,187.0,DB,,,,
89805,3.0,187.0,SG,,,,
90240,0.0,188.0,VS,,,,
90255,1.0,188.0,VS,,,,
90270,2.0,188.0,DB,,,,
90285,3.0,188.0,DB,,,,
90720,0.0,189.0,VS,,,,
90735,1.0,189.0,DB,,,,
90750,2.0,189.0,DB,,,,
90765,3.0,189.0,DB,,,,
91200,0.0,190.0,DB,,,,
91215,1.0,190.0,SG,,,,
91230,2.0,190.0,AS,,,,
91245,3.0,190.0,DB,,,,
91680,0.0,191.0,AS,,,,
91695,1.0,191.0,AS,,,,
91710,2.0,191.0,AS,,,,
91725,3.0,191.0,DB,,,,
92160,0.0,192.0,SG,,,,
